Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;торговая галерея (восточная сторона, от центрального холла в сторону 4й секции) переименовать помещения:;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1944. Помещение (1) - подсобное помещение салона красоты -> ;1эт Салон красоты подсобка;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;10005. Помещение (1) - подсобное помещение салона красоты -> ;1эт Салон красоты подсобка;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;199. Магазин (1) - салон красоты Paul Mitchell -> ;1эт Салон красоты;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1943. Магазин (1) - игрушки Детки.RUлят  -> ;1эт магазин Игрушки;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;180. Магазин (1) - сумки, чемоданы, шляпы Fabretti -> ;1эт магазин Сумки;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1921. Ниша лифта 3 - подсобка магазина Fabretti -> ;1эт магазин Сумки подсобка;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1923. Магазин (1) - одежда и обувь Enrico Cerini -> ;1эт магазин Одежда;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1927. Зона бутиков (1) - одежда и обувь Daniela -> ;1эт магазин Daniela;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1945. Зона бутиков (1) - ювелирный магазин Roberto Bravo -> ;1эт Ювелирный магазин;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1946. Зона бутиков (1) - ювелирный магазин Lala Bella -> ;1эт Ювелирный магазин;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1949. Зона бутиков (1) - Алуштинский эфирномасличный совхоз-завод -> ;1эт Парфюмерный магазин;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1947. Зона бутиков (1) - женское нижнее белье Dante -> ;1эт магазин Нижнего белья;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;"1948. Магазин (1) - фотостудия Artstudio Ani ""Crimea"" -> ";1эт магазины Фотостудия;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
